"ANGI", 49,59,421,234,229, 216, 77,74,75,75,81
"CARP", 117,110,1520,592,590, 548, 82,81,79,74,91
"ETHE", 58,86,878,385,388, 372, 71,70,73,71,68
"GOLO", 77,97,883,535,535, 497, 84,81,81,84,89
"GRIS", 47,93,470,195,183, 172, 88,84,91,91,86
"ROPA", 75,82,719,353,347, 326, 82,83,70,87,87
"SCHU", 113,146,2559,810,803, 759, 74,75,67,74,82
"TENU", 56,179,1568,728,710, 682, 76,75,74,81,73
"tst01", 45,61,723,594,586, 545, 68,68,67,68,68
"tst02", 47,151,1631,1465,1426, 1354, 75,75,76,76,75
"tst03", 49,111,1067,899,895, 833, 82,81,81,83,82
"tst04", 50,97,787,663,645, 587, 88,87,87,88,88
"tst05", 52,75,1015,855,844, 789, 68,67,70,68,67
"tst06", 54,65,816,666,649, 596, 75,74,74,74,77
"tst07", 56,143,1590,1401,1364, 1269, 82,82,81,82,82
"tst08", 57,119,1114,945,929, 852, 87,87,87,88,88
"tst09", 59,93,1447,1235,1216, 1158, 68,68,67,68,68
"tst10", 60,71,991,795,787, 734, 75,75,74,75,76
"tst11", 62,63,771,620,601, 552, 82,81,83,80,83
"tst12", 64,147,1546,1357,1310, 1245, 87,87,87,88,87
"tst13", 65,113,1912,1617,1608, 1535, 68,68,67,69,69
"tst14", 67,99,1524,1266,1252, 1174, 76,75,76,74,76
"tst15", 69,77,1062,839,834, 768, 82,82,81,82,81
"tst16", 70,69,776,617,600, 555, 88,88,89,88,87
"tst17", 71,159,2970,2588,2581, 2475, 68,68,69,68,68
"tst18", 73,117,1962,1666,1637, 1551, 76,77,75,75,75
"tst19", 74,95,1382,1124,1112, 1041, 82,83,81,81,83
"tst20", 75,79,955,769,741, 688, 88,88,88,88,87
"@@@", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
"m0808", 178,3453,126183,24682,24378, 23769, 66,65,78,61,61
"m0972", 155,355,5287,1737,1644, 1528, 85,82,83,90,84
"m1038", 297,2021,39134,12777,12785, 12367, 88,88,93,90,83
"m1902", 209,977,11761,6242,6276, 6122, 90,91,91,87,91
"m2055", 299,2064,7748,5832,3007, 2597, 100,100,100,99,100
"m2123", 198,1426,6601,2741,1984, 1925, 98,98,99,99,97
"m2725", 210,8245,376158,161992,162258, 157075, 64,67,58,63,70
"m2780", 119,2020,32639,11752,11733, 11488, 76,75,68,81,80
"m3275", 117,5098,38201,24895,24221, 23913, 91,91,95,87,92
"m3452", 116,1157,10720,3760,3725, 3601, 87,79,87,90,93
"m3453", 137,995,15318,4010,4037, 3904, 82,70,85,81,91
"AGAP", 22,943,2976,2332,2322, 2304, 77,75,78,76,79
"BASI", 106,3317,46153,39397,39098, 38718, 81,76,80,88,83
"DNAM", 150,1269,20447,9473,9428, 9320, 82,84,79,81,83
"EF1a", 86,475,784,242,243, 229, 97,97,97,94,98
"FUNG", 76,1768,5640,2712,2710, 2688, 93,93,92,94,91
"GRIM", 105,851,3936,1364,1367, 1347, 92,91,95,92,92
"HIV", 94,10922,127881,74388,74385, 73537, 79,75,87,77,76
"HPV", 38,1518,12079,8658,8680, 8642, 67,70,67,67,65
"Isospora", 93,2076,11152,4132,4091, 4060, 91,90,85,96,92
"JANS", 29,45573,105774,68540,68145, 67932, 86,85,91,86,83
"LEWI", 150,1758,11335,5490,5440, 5355, 93,93,88,96,93
"LITT", 158,2644,25514,13127,13142, 13041, 90,92,95,90,82
"MAMM", 44,17028,75724,59464,59628, 58775, 83,86,78,79,87
"MURP", 66,10694,57721,42950,42814, 42596, 87,78,90,91,89
"NAD4", 94,411,877,291,289, 281, 96,97,96,95,96
"QIU", 99,13531,56061,35912,35637, 35470, 93,91,93,94,93
"RANA", 64,1976,8832,4352,4349, 4321, 88,90,88,86,89
"ROKA", 13,120762,302818,257892,256454, 255722, 70,70,70,69,69
"RYDI", 111,5911,43929,21330,20468, 19948, 91,94,97,87,85
"VOS", 56,584,632,318,299, 298, 97,96,99,96,98
"53humans.32", 32,202,261,95,95, 95, 93,88,91,97,96
"e1", 24,500,1274,593,594, 593, 81,81,82,80,80
"e3", 24,500,1203,589,589, 589, 82,80,83,83,83
"e4", 24,500,1291,584,584, 584, 81,80,79,82,84
"e5", 24,500,1138,577,577, 577, 83,82,84,85,81
"e6", 24,500,1260,581,580, 579, 82,82,80,84,80
"EukaryotesrDNA", 27,2461,6894,3524,3519, 3512, 82,81,83,83,81
"its36", 36,607,493,249,249, 247, 96,93,99,98,95
"Metazoan", 20,1008,1236,845,849, 825, 89,91,89,90,88
"mh1", 20,64,163,130,127, 124, 78,75,75,83,78
"mh2", 20,64,330,195,195, 192, 56,54,62,56,54
"mh3", 20,64,139,122,119, 118, 80,80,76,86,78
"mt-10", 10,10539,17155,16232,16194, 16179, 74,72,77,71,74
"rbc14x759", 14,759,1104,964,969, 963, 82,84,80,85,78
"agonum", 150,138,2790,1211,1214, 1149, 78,75,75,77,83
"astr", 103,36,632,323,313, 287, 73,79,68,70,76
"bemby", 53,163,936,524,506, 485, 84,77,77,90,94
"bomb", 50,44,364,133,135, 129, 73,71,78,69,75
"bracon", 126,89,1176,697,686, 637, 86,85,83,84,92
"brochu", 62,164,1500,523,509, 492, 82,90,78,74,86
"cephalo", 78,101,994,206,201, 190, 82,77,80,87,84
"corydo", 68,83,781,349,347, 333, 76,68,74,80,82
"cristian2", 68,83,779,349,347, 333, 76,68,74,80,82
"dinos", 50,276,1438,711,645, 614, 91,95,92,89,89
"ethe", 58,51,686,321,322, 308, 62,69,62,54,64
"gui_m", 55,76,809,439,431, 409, 71,76,71,71,66
"holmorph", 85,176,1362,279,278, 277, 84,88,86,75,87
"kearney", 80,162,2230,614,535, 519, 79,78,78,75,83
"liebherr", 170,206,4275,1735,1727, 1654, 80,82,79,82,76
"ltbees", 83,131,1988,930,938, 904, 70,72,74,69,63
"lucena", 66,119,1210,659,662, 635, 75,77,72,73,76
"lucho3", 83,139,1629,921,913, 878, 77,79,80,72,77
"mammals", 90,319,3029,1493,1453, 1375, 87,83,83,91,91
"mitt", 78,159,1046,508,508, 482, 86,82,88,89,85
"nixseed", 49,103,951,361,346, 331, 75,73,67,77,82
"norell", 56,222,1473,718,687, 640, 90,93,90,90,88
"odonata", 121,132,1857,513,489, 465, 81,79,79,77,90
"pilo", 113,149,2160,711,712, 675, 79,79,77,75,83
"prendi", 71,115,1318,271,269, 262, 74,69,76,72,78
"pulawski", 135,74,772,302,307, 296, 86,89,87,80,87
"tenu", 56,262,1656,812,794, 765, 82,83,82,84,80
"west", 66,73,626,273,272, 261, 77,74,74,74,88
"zilla", 500,759,37442,16611,16477, 16218, 84,85,81,84,85
